iri	label	ontology	parents
http://purl.obolibrary.org/obo/MONDO_0010212	xeroderma pigmentosum group D	mondo	['MONDO:0019600', 'MONDO:0016354']
http://purl.obolibrary.org/obo/MONDO_0010215	xeroderma pigmentosum group F	mondo	['MONDO:0019600', 'MONDO:0016354']
http://purl.obolibrary.org/obo/MONDO_0012531	xeroderma pigmentosum group B	mondo	['MONDO:0019600', 'MONDO:0016354']
http://purl.obolibrary.org/obo/MONDO_0012104	acquired partial lipodystrophy	mondo	['MONDO:0020089', 'MONDO:0015333', 'MONDO:0015327', 'MONDO:0027767']
http://purl.obolibrary.org/obo/MONDO_0014527	progeroid features-hepatocellular carcinoma predisposition syndrome	mondo	['MONDO:0015333', 'MONDO:0015356']
http://purl.obolibrary.org/obo/MONDO_0014399	ataxia-telangiectasia-like disorder 2	mondo	['MONDO:0000508', 'MONDO:0015333', 'MONDO:0015327', 'MONDO:0011457', 'MONDO:0021190', 'MONDO:0019052']
http://purl.obolibrary.org/obo/MONDO_0009517	Donohue syndrome	mondo	['MONDO:0015333', 'MONDO:0015161', 'MONDO:0006025', 'MONDO:0002254', 'MONDO:0005015', 'MONDO:0019280', 'MONDO:0015327', 'MONDO:0019052']
http://purl.obolibrary.org/obo/MONDO_0010457	Ogden syndrome	mondo	['MONDO:0015333', 'MONDO:0100124']
http://purl.obolibrary.org/obo/MONDO_0010196	Werner syndrome	mondo	['MONDO:0016382', 'MONDO:0015333', 'MONDO:0006025', 'MONDO:0005328']
http://purl.obolibrary.org/obo/MONDO_0012853	Fontaine progeroid syndrome	mondo	['MONDO:0019287', 'MONDO:0015333', 'MONDO:0015161']
http://purl.obolibrary.org/obo/MONDO_0010026	SHORT syndrome	mondo	['MONDO:0020087', 'MONDO:0020210', 'MONDO:0015333', 'MONDO:0015161', 'MONDO:0005015', 'MONDO:0015327', 'MONDO:0015160']
http://purl.obolibrary.org/obo/MONDO_0020732	progeria	mondo	['MONDO:0003847', 'MONDO:0015333']
http://purl.obolibrary.org/obo/MONDO_0009910	Wiedemann-Rautenstrauch syndrome	mondo	['MONDO:0020087', 'MONDO:0000508', 'MONDO:0800064', 'MONDO:0002320', 'MONDO:0020732', 'MONDO:0015327', 'MONDO:0015159', 'MONDO:0020162']
http://purl.obolibrary.org/obo/MONDO_0013523	Nestor-Guillermo progeria syndrome	mondo	['MONDO:0006025', 'MONDO:0020732', 'MONDO:0019707']
http://purl.obolibrary.org/obo/MONDO_0008310	Hutchinson-Gilford progeria syndrome	mondo	['MONDO:0006025', 'MONDO:0002254', 'MONDO:0021106', 'MONDO:0020732', 'MONDO:0019707']
http://purl.obolibrary.org/obo/MONDO_0019600	xeroderma pigmentosum	mondo	['MONDO:0015333', 'MONDO:0015327', 'MONDO:0021190', 'MONDO:0015951', 'MONDO:0019052']
http://purl.obolibrary.org/obo/MONDO_0008690	xeroderma pigmentosum, autosomal dominant, mild	mondo	['MONDO:0019600']
http://purl.obolibrary.org/obo/MONDO_0010211	xeroderma pigmentosum group C	mondo	['MONDO:0019600']
http://purl.obolibrary.org/obo/MONDO_0010210	xeroderma pigmentosum group A	mondo	['MONDO:0019600']
http://purl.obolibrary.org/obo/MONDO_0010213	xeroderma pigmentosum group E	mondo	['MONDO:0019600']
http://purl.obolibrary.org/obo/MONDO_0010214	xeroderma pigmentosum variant type	mondo	['MONDO:0019600']
http://purl.obolibrary.org/obo/MONDO_0019321	atypical Werner syndrome	mondo	['MONDO:0015333', 'MONDO:0021106']
http://purl.obolibrary.org/obo/MONDO_0007906	familial partial lipodystrophy, Dunnigan type	mondo	['MONDO:0020088', 'MONDO:0015333', 'MONDO:0015327']
http://purl.obolibrary.org/obo/MONDO_0008311	progeria-short stature-pigmented nevi syndrome	mondo	['MONDO:0015333']
http://purl.obolibrary.org/obo/MONDO_0011976	lipodystrophy-intellectual disability-deafness syndrome	mondo	['MONDO:0020087', 'MONDO:0015333', 'MONDO:0015327']
http://purl.obolibrary.org/obo/MONDO_0011150	acroosteolysis-keloid-like lesions-premature aging syndrome	mondo	['MONDO:0015333']
http://purl.obolibrary.org/obo/MONDO_0017569	de Barsy syndrome	mondo	['MONDO:0019303', 'MONDO:0006025']
http://purl.obolibrary.org/obo/MONDO_0009053	ALDH18A1-related de Barsy syndrome	mondo	['MONDO:0100237', 'MONDO:0100126', 'MONDO:0015327', 'MONDO:0017569']
http://purl.obolibrary.org/obo/MONDO_0013755	PYCR1-related de Barsy syndrome	mondo	['MONDO:0100237', 'MONDO:0017569']
http://purl.obolibrary.org/obo/MONDO_0011149	premature aging syndrome, Okamoto type	mondo	['MONDO:0019303']
